Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Russia,2020,Ddos,Healthcare,44.32,130510.0,Unknown,Social Engineering,Ai-Based Detection,66.0
Brazil,2016,Man-In-The-Middle,Banking,43.45,489853.0,Nation-State,Zero-Day,Ai-Based Detection,28.0
Uk,2022,Malware,Healthcare,47.92,25905.0,Nation-State,Unpatched Software,Vpn,40.0
Japan,2023,Malware,It,73.74,795367.0,Hacker Group,Zero-Day,Ai-Based Detection,36.0
Australia,2023,Man-In-The-Middle,Retail,93.25,349335.0,Nation-State,Zero-Day,Firewall,27.0
Usa,2015,Ransomware,Banking,50.99,366147.0,Hacker Group,Weak Passwords,Vpn,38.0
India,2018,Phishing,Government,41.1,25094.0,Nation-State,Unpatched Software,Antivirus,42.0
Russia,2024,Phishing,Retail,44.08,988889.0,Nation-State,Unpatched Software,Encryption,31.0
Japan,2022,Man-In-The-Middle,It,65.19,216303.0,Hacker Group,Unpatched Software,Ai-Based Detection,49.0
Australia,2022,Ransomware,Healthcare,21.54,388211.0,Nation-State,Weak Passwords,Antivirus,22.0
Usa,2022,Man-In-The-Middle,Education,83.61,30235.0,Insider,Weak Passwords,Encryption,47.0
Usa,2023,Malware,Banking,13.99,109083.0,Nation-State,Weak Passwords,Antivirus,49.0
Germany,2017,Malware,Healthcare,49.09,397361.0,Hacker Group,Weak Passwords,Encryption,57.0
Uk,2016,Ransomware,Retail,32.16,329026.0,Nation-State,Zero-Day,Vpn,31.0
Australia,2017,Man-In-The-Middle,It,45.5,889521.0,Nation-State,Weak Passwords,Encryption,51.0
Usa,2018,Sql Injection,Healthcare,73.16,849755.0,Insider,Weak Passwords,Encryption,46.0
China,2021,Phishing,Banking,70.2,631101.0,Unknown,Zero-Day,Firewall,36.0
Japan,2016,Ddos,Banking,10.62,625954.0,Insider,Weak Passwords,Ai-Based Detection,71.0
Japan,2023,Man-In-The-Middle,It,26.65,220769.0,Unknown,Zero-Day,Vpn,36.0
China,2018,Sql Injection,Healthcare,52.01,527443.0,Hacker Group,Unpatched Software,Firewall,24.0
Germany,2020,Ddos,Government,32.71,846169.0,Hacker Group,Zero-Day,Vpn,59.0
China,2017,Malware,Education,47.46,783239.0,Unknown,Social Engineering,Vpn,36.0
China,2022,Malware,Telecommunications,11.39,104772.0,Unknown,Social Engineering,Firewall,43.0
Germany,2015,Ddos,Telecommunications,31.68,33098.0,Hacker Group,Zero-Day,Ai-Based Detection,8.0
Uk,2024,Man-In-The-Middle,Healthcare,65.78,512847.0,Insider,Social Engineering,Encryption,72.0
Australia,2018,Sql Injection,Banking,71.01,840106.0,Insider,Weak Passwords,Vpn,44.0
Brazil,2024,Sql Injection,Healthcare,69.57,269458.0,Insider,Zero-Day,Firewall,15.0
Germany,2021,Ransomware,Healthcare,66.84,505132.5,Unknown,Zero-Day,Antivirus,50.0
Russia,2018,Phishing,Banking,5.25,605947.0,Insider,Zero-Day,Firewall,13.0
Japan,2018,Sql Injection,Education,60.57,468399.0,Nation-State,Zero-Day,Vpn,56.0
India,2015,Ransomware,It,61.68,503774.0,Hacker Group,Zero-Day,Firewall,37.0
France,2021,Phishing,Retail,45.74,754278.0,Insider,Social Engineering,Firewall,46.0
Uk,2019,Sql Injection,It,89.81,126120.0,Unknown,Social Engineering,Encryption,39.0
Uk,2018,Malware,It,73.27,210024.0,Hacker Group,Weak Passwords,Antivirus,20.0
France,2022,Ddos,Banking,51.33,970775.0,Insider,Unpatched Software,Ai-Based Detection,21.0
France,2017,Ransomware,Education,19.84,832471.0,Insider,Social Engineering,Firewall,54.0
India,2024,Phishing,It,97.25,165316.0,Unknown,Zero-Day,Encryption,61.0
Australia,2016,Ddos,Retail,2.96,990886.0,Insider,Weak Passwords,Ai-Based Detection,59.0
Uk,2021,Malware,Telecommunications,82.28,370146.0,Nation-State,Zero-Day,Vpn,55.0
China,2021,Phishing,Retail,49.59,284823.0,Unknown,Social Engineering,Antivirus,50.0
Uk,2016,Malware,Healthcare,65.14,742857.0,Nation-State,Weak Passwords,Antivirus,49.0
Brazil,2024,Ddos,Healthcare,70.0,484101.0,Hacker Group,Unpatched Software,Vpn,9.0
Uk,2015,Ransomware,Telecommunications,22.58,368441.0,Hacker Group,Weak Passwords,Ai-Based Detection,71.0
Russia,2019,Malware,Banking,55.42,945465.0,Unknown,Weak Passwords,Firewall,5.0
Usa,2016,Ddos,Healthcare,50.99,551900.0,Unknown,Social Engineering,Vpn,17.0
Uk,2021,Malware,Banking,73.02,731722.0,Hacker Group,Weak Passwords,Antivirus,28.0
Germany,2018,Phishing,Banking,88.73,436597.0,Insider,Unpatched Software,Ai-Based Detection,33.0
France,2020,Ddos,Education,16.35,728830.0,Insider,Zero-Day,Ai-Based Detection,45.0
Usa,2022,Ransomware,It,85.61,826018.0,Hacker Group,Weak Passwords,Firewall,24.0
Russia,2020,Ransomware,Telecommunications,76.61,791323.0,Insider,Unpatched Software,Encryption,40.0
Usa,2015,Sql Injection,Banking,42.77,505132.5,Insider,Unpatched Software,Firewall,19.0
Japan,2023,Ransomware,Retail,95.3,986882.0,Hacker Group,Weak Passwords,Encryption,36.0
France,2016,Phishing,It,78.12,770227.0,Unknown,Zero-Day,Antivirus,20.0
China,2024,Sql Injection,Government,21.33,997411.0,Nation-State,Social Engineering,Antivirus,36.0
Japan,2020,Malware,Education,66.93,640603.0,Hacker Group,Unpatched Software,Vpn,23.0
Brazil,2024,Phishing,Telecommunications,81.54,499671.0,Hacker Group,Weak Passwords,Vpn,4.0
India,2022,Phishing,Retail,12.64,805905.0,Nation-State,Social Engineering,Firewall,54.0
France,2017,Phishing,Retail,43.2,377252.0,Nation-State,Unpatched Software,Encryption,8.0
Usa,2018,Ransomware,Retail,20.58,653168.0,Unknown,Weak Passwords,Ai-Based Detection,3.0
Brazil,2017,Phishing,It,26.62,955790.0,Nation-State,Zero-Day,Encryption,44.0
Usa,2018,Phishing,Telecommunications,15.56,734448.0,Unknown,Social Engineering,Encryption,37.0
China,2021,Ransomware,Retail,12.97,425647.0,Unknown,Zero-Day,Antivirus,4.0
France,2019,Sql Injection,Banking,98.04,278315.0,Unknown,Unpatched Software,Antivirus,3.0
Uk,2020,Man-In-The-Middle,Telecommunications,63.35,294447.0,Unknown,Zero-Day,Ai-Based Detection,54.0
Brazil,2020,Ddos,Education,26.57,505132.5,Insider,Zero-Day,Ai-Based Detection,19.0
Japan,2020,Man-In-The-Middle,Education,29.58,141411.0,Insider,Unpatched Software,Ai-Based Detection,58.0
France,2023,Phishing,Healthcare,72.54,581712.0,Unknown,Social Engineering,Vpn,36.0
Uk,2022,Ransomware,Education,35.16,100749.0,Unknown,Zero-Day,Firewall,62.0
Russia,2019,Malware,Education,56.94,217880.0,Nation-State,Unpatched Software,Antivirus,48.0
France,2023,Man-In-The-Middle,Telecommunications,99.71,357542.0,Hacker Group,Zero-Day,Antivirus,21.0
Uk,2021,Malware,Telecommunications,77.18,347426.0,Hacker Group,Zero-Day,Antivirus,36.0
France,2018,Man-In-The-Middle,Education,36.92,829140.0,Nation-State,Unpatched Software,Encryption,2.0
France,2017,Sql Injection,Banking,42.8,683189.0,Unknown,Zero-Day,Vpn,19.0
India,2019,Ransomware,Banking,89.41,453441.0,Hacker Group,Unpatched Software,Vpn,29.0
Australia,2017,Malware,It,33.34,673439.0,Insider,Weak Passwords,Firewall,13.0
Brazil,2016,Sql Injection,Telecommunications,13.94,832297.0,Nation-State,Weak Passwords,Ai-Based Detection,69.0
India,2018,Phishing,It,13.05,400964.0,Nation-State,Weak Passwords,Vpn,19.0
France,2019,Ddos,Telecommunications,52.94,192293.0,Nation-State,Weak Passwords,Vpn,57.0
Russia,2019,Man-In-The-Middle,Banking,26.02,565292.0,Insider,Unpatched Software,Antivirus,27.0
Brazil,2016,Phishing,Education,9.23,774750.0,Nation-State,Social Engineering,Firewall,70.0
France,2022,Phishing,It,78.2,666996.0,Insider,Weak Passwords,Encryption,36.0
Germany,2016,Malware,Healthcare,94.12,21382.0,Unknown,Weak Passwords,Encryption,21.0
Germany,2021,Phishing,Telecommunications,55.14,505132.5,Nation-State,Unpatched Software,Ai-Based Detection,59.0
Russia,2022,Ransomware,Telecommunications,16.98,905673.0,Insider,Weak Passwords,Vpn,36.0
India,2024,Man-In-The-Middle,Retail,30.59,619881.0,Unknown,Unpatched Software,Antivirus,42.0
France,2015,Malware,Banking,20.27,987350.0,Insider,Zero-Day,Antivirus,4.0
Usa,2019,Phishing,Education,97.32,849084.0,Nation-State,Zero-Day,Vpn,62.0
Uk,2017,Phishing,Education,13.06,799627.0,Hacker Group,Weak Passwords,Antivirus,36.0
France,2023,Man-In-The-Middle,Education,87.39,307155.0,Unknown,Unpatched Software,Antivirus,28.0
Japan,2024,Ransomware,Retail,88.36,989106.0,Unknown,Zero-Day,Firewall,3.0
India,2020,Man-In-The-Middle,Retail,84.77,129144.0,Hacker Group,Weak Passwords,Antivirus,25.0
Uk,2015,Malware,Government,57.81,767562.0,Unknown,Zero-Day,Antivirus,61.0
Brazil,2015,Malware,It,74.03,956965.0,Hacker Group,Unpatched Software,Encryption,40.0
Germany,2023,Phishing,Retail,87.55,291580.0,Unknown,Unpatched Software,Firewall,25.0
Germany,2017,Ransomware,Education,50.99,950276.0,Hacker Group,Unpatched Software,Firewall,31.0
Uk,2017,Man-In-The-Middle,Telecommunications,89.07,932075.0,Unknown,Unpatched Software,Firewall,72.0
Germany,2015,Ddos,Healthcare,33.96,931456.0,Hacker Group,Zero-Day,Ai-Based Detection,22.0
Japan,2023,Ransomware,Retail,28.77,983880.0,Nation-State,Unpatched Software,Antivirus,54.0
China,2022,Phishing,Education,18.49,20680.0,Nation-State,Social Engineering,Firewall,29.0
Australia,2018,Malware,Education,21.39,437056.0,Hacker Group,Zero-Day,Ai-Based Detection,52.0
India,2021,Malware,Government,57.91,769222.0,Insider,Weak Passwords,Antivirus,32.0
Australia,2022,Malware,Government,4.5,436928.0,Unknown,Social Engineering,Antivirus,34.0
China,2021,Ddos,Banking,38.67,340194.0,Unknown,Weak Passwords,Vpn,44.0
India,2019,Ddos,It,44.01,612030.0,Nation-State,Unpatched Software,Antivirus,47.0
Australia,2019,Man-In-The-Middle,It,87.89,551100.0,Insider,Zero-Day,Vpn,9.0
Brazil,2022,Phishing,Banking,26.02,251768.0,Unknown,Social Engineering,Vpn,6.0
Japan,2015,Ddos,Retail,11.69,680720.0,Nation-State,Zero-Day,Encryption,2.0
Usa,2017,Ddos,Telecommunications,50.99,156213.0,Nation-State,Zero-Day,Vpn,9.0
Japan,2020,Man-In-The-Middle,Retail,33.75,468856.0,Hacker Group,Unpatched Software,Firewall,15.0
France,2023,Ransomware,Government,63.45,90678.0,Nation-State,Unpatched Software,Firewall,22.0
Uk,2022,Ddos,Retail,45.73,554585.0,Hacker Group,Social Engineering,Vpn,63.0
China,2021,Man-In-The-Middle,Banking,33.3,935265.0,Nation-State,Unpatched Software,Firewall,36.0
Japan,2023,Sql Injection,Banking,43.96,459922.0,Unknown,Zero-Day,Encryption,12.0
France,2017,Ddos,Healthcare,6.72,782873.0,Hacker Group,Zero-Day,Encryption,4.0
Uk,2020,Ransomware,Banking,53.03,528708.0,Unknown,Social Engineering,Vpn,14.0
Germany,2020,Sql Injection,Healthcare,38.89,513096.0,Hacker Group,Weak Passwords,Vpn,57.0
Australia,2018,Ddos,Education,79.5,636407.0,Hacker Group,Zero-Day,Encryption,11.0
Usa,2020,Ransomware,Retail,38.02,419557.0,Unknown,Weak Passwords,Antivirus,2.0
Brazil,2018,Ddos,Healthcare,47.47,784099.0,Insider,Social Engineering,Ai-Based Detection,30.0
Japan,2024,Malware,Telecommunications,71.18,37870.0,Nation-State,Zero-Day,Ai-Based Detection,31.0
Brazil,2022,Malware,It,4.08,291590.0,Hacker Group,Zero-Day,Antivirus,22.0
India,2018,Sql Injection,Telecommunications,15.96,444408.0,Unknown,Weak Passwords,Ai-Based Detection,64.0
Germany,2015,Malware,Banking,56.13,526658.0,Nation-State,Weak Passwords,Vpn,38.0
Japan,2022,Malware,Retail,30.53,333238.0,Hacker Group,Social Engineering,Firewall,20.0
Australia,2020,Ddos,Retail,31.36,449936.0,Insider,Weak Passwords,Vpn,52.0
Germany,2023,Malware,Retail,71.05,61238.0,Unknown,Unpatched Software,Ai-Based Detection,41.0
Usa,2024,Malware,Education,24.93,916209.0,Unknown,Zero-Day,Encryption,50.0
India,2022,Ddos,Banking,13.97,762440.0,Nation-State,Unpatched Software,Ai-Based Detection,19.0
China,2021,Malware,Banking,92.2,248859.0,Nation-State,Social Engineering,Antivirus,33.0
Russia,2015,Sql Injection,It,47.8,645774.0,Hacker Group,Social Engineering,Firewall,7.0
Brazil,2024,Man-In-The-Middle,Healthcare,61.55,218189.0,Unknown,Weak Passwords,Ai-Based Detection,48.0
China,2015,Man-In-The-Middle,Banking,66.47,623301.0,Hacker Group,Social Engineering,Vpn,40.0
Germany,2017,Ransomware,Education,10.32,195872.0,Hacker Group,Social Engineering,Antivirus,22.0
Germany,2016,Sql Injection,It,76.36,807745.0,Unknown,Unpatched Software,Ai-Based Detection,71.0
France,2020,Ransomware,Healthcare,25.49,50385.0,Unknown,Unpatched Software,Antivirus,10.0
Brazil,2017,Malware,Banking,73.71,377769.0,Hacker Group,Zero-Day,Firewall,38.0
Uk,2018,Ransomware,Telecommunications,99.41,355256.0,Hacker Group,Unpatched Software,Firewall,51.0
Uk,2017,Ddos,Government,65.57,478549.0,Hacker Group,Weak Passwords,Antivirus,37.0
Germany,2022,Malware,Retail,60.85,125300.0,Insider,Weak Passwords,Ai-Based Detection,36.0
France,2018,Ransomware,Education,34.54,608196.0,Insider,Weak Passwords,Ai-Based Detection,25.0
China,2023,Phishing,Government,43.49,27694.0,Unknown,Weak Passwords,Encryption,30.0
China,2017,Man-In-The-Middle,Retail,30.38,29840.0,Hacker Group,Weak Passwords,Ai-Based Detection,63.0
Russia,2015,Phishing,Banking,4.59,720643.0,Unknown,Social Engineering,Firewall,19.0
Germany,2015,Man-In-The-Middle,It,54.54,775866.0,Insider,Weak Passwords,Ai-Based Detection,69.0
Usa,2021,Phishing,Retail,95.86,671335.0,Hacker Group,Zero-Day,Antivirus,62.0
Usa,2017,Ddos,Banking,98.07,276199.0,Unknown,Weak Passwords,Antivirus,28.0
Uk,2015,Ransomware,It,75.49,534962.0,Unknown,Weak Passwords,Encryption,59.0
Uk,2022,Phishing,Telecommunications,50.99,758516.0,Hacker Group,Zero-Day,Antivirus,16.0
Australia,2018,Phishing,Education,82.18,943662.0,Unknown,Weak Passwords,Antivirus,36.0
Germany,2019,Ransomware,Government,99.3,257068.0,Hacker Group,Social Engineering,Ai-Based Detection,17.0
Usa,2015,Ddos,Education,66.04,75167.0,Insider,Unpatched Software,Vpn,13.0
Germany,2017,Sql Injection,Retail,88.18,3200.0,Insider,Weak Passwords,Ai-Based Detection,43.0
Japan,2018,Ransomware,It,60.82,917016.0,Unknown,Weak Passwords,Vpn,39.0
Uk,2020,Sql Injection,Banking,40.31,760892.0,Hacker Group,Zero-Day,Vpn,22.0
Uk,2021,Sql Injection,Banking,1.47,204624.0,Unknown,Unpatched Software,Vpn,33.0
India,2020,Ddos,Healthcare,16.65,324899.0,Insider,Unpatched Software,Firewall,57.0
Australia,2023,Ransomware,Government,96.44,472878.0,Unknown,Social Engineering,Firewall,37.0
France,2022,Malware,Retail,13.77,804221.0,Nation-State,Zero-Day,Firewall,68.0
Russia,2023,Ransomware,Banking,54.09,514319.0,Hacker Group,Zero-Day,Firewall,36.0
Usa,2016,Man-In-The-Middle,Education,2.17,180599.0,Insider,Social Engineering,Antivirus,4.0
China,2017,Sql Injection,Retail,61.83,129677.0,Hacker Group,Unpatched Software,Firewall,60.0
Usa,2016,Ransomware,Telecommunications,99.88,999508.0,Unknown,Unpatched Software,Vpn,23.0
Australia,2019,Sql Injection,Healthcare,3.92,915247.0,Nation-State,Zero-Day,Encryption,36.0
Japan,2015,Man-In-The-Middle,Education,50.99,685261.0,Nation-State,Unpatched Software,Ai-Based Detection,36.0
Uk,2023,Ddos,Government,34.8,48515.0,Hacker Group,Social Engineering,Encryption,50.0
China,2017,Man-In-The-Middle,Government,49.37,613786.0,Nation-State,Unpatched Software,Antivirus,24.0
Australia,2016,Ddos,Education,61.23,228033.0,Nation-State,Unpatched Software,Encryption,43.0
India,2019,Sql Injection,Education,95.54,862718.0,Hacker Group,Weak Passwords,Antivirus,44.0
Russia,2017,Ransomware,Healthcare,50.99,924837.0,Hacker Group,Unpatched Software,Firewall,62.0
Japan,2018,Sql Injection,Government,50.99,876850.0,Insider,Weak Passwords,Ai-Based Detection,8.0
Germany,2017,Phishing,Banking,10.56,556014.0,Nation-State,Unpatched Software,Encryption,11.0
Brazil,2021,Phishing,Government,42.82,974362.0,Insider,Unpatched Software,Encryption,70.0
India,2017,Man-In-The-Middle,It,68.68,725608.0,Insider,Zero-Day,Ai-Based Detection,15.0
Russia,2019,Man-In-The-Middle,Education,6.79,386691.0,Nation-State,Weak Passwords,Ai-Based Detection,20.0
India,2017,Sql Injection,Government,40.98,402855.0,Insider,Social Engineering,Ai-Based Detection,26.0
Japan,2018,Phishing,Healthcare,25.66,518357.0,Insider,Weak Passwords,Firewall,42.0
Usa,2018,Phishing,Banking,29.35,724633.0,Unknown,Weak Passwords,Encryption,26.0
Germany,2015,Ransomware,It,6.74,742272.0,Nation-State,Zero-Day,Antivirus,64.0
Brazil,2024,Malware,It,83.09,650093.0,Unknown,Social Engineering,Antivirus,58.0
Japan,2021,Phishing,Banking,94.32,755165.0,Hacker Group,Social Engineering,Antivirus,28.0
Uk,2021,Ddos,It,67.12,581923.0,Hacker Group,Social Engineering,Vpn,63.0
Australia,2024,Man-In-The-Middle,Retail,76.83,637189.0,Hacker Group,Unpatched Software,Antivirus,56.0
Usa,2017,Ddos,Retail,70.37,513625.0,Nation-State,Weak Passwords,Vpn,37.0
Germany,2024,Phishing,Government,22.46,499142.0,Nation-State,Unpatched Software,Vpn,70.0
Usa,2024,Phishing,Healthcare,17.64,8334.0,Unknown,Zero-Day,Firewall,13.0
Usa,2020,Phishing,Government,37.3,617277.0,Insider,Social Engineering,Antivirus,4.0
Usa,2018,Man-In-The-Middle,Education,2.17,614662.0,Unknown,Weak Passwords,Vpn,37.0
China,2024,Ddos,Banking,99.99,755185.0,Unknown,Weak Passwords,Encryption,20.0
Russia,2018,Ddos,It,37.84,839882.0,Unknown,Social Engineering,Ai-Based Detection,7.0
Russia,2021,Ransomware,Education,86.8,852965.0,Nation-State,Weak Passwords,Antivirus,39.0
Brazil,2021,Man-In-The-Middle,Banking,3.69,566386.0,Insider,Unpatched Software,Encryption,45.0
Japan,2017,Phishing,It,73.85,402903.0,Insider,Zero-Day,Encryption,55.0
Uk,2018,Ddos,Retail,0.5,261266.0,Hacker Group,Weak Passwords,Firewall,63.0
France,2015,Malware,It,91.94,899215.0,Hacker Group,Weak Passwords,Antivirus,59.0
China,2022,Man-In-The-Middle,Education,35.37,455900.0,Hacker Group,Zero-Day,Antivirus,36.0
Japan,2023,Phishing,Government,50.99,391049.0,Unknown,Weak Passwords,Antivirus,35.0
France,2020,Ransomware,Government,81.53,694660.0,Unknown,Weak Passwords,Encryption,29.0
Germany,2020,Ddos,It,63.96,650469.0,Unknown,Unpatched Software,Antivirus,58.0
Usa,2020,Sql Injection,It,68.17,247149.0,Nation-State,Unpatched Software,Antivirus,47.0
Japan,2019,Ddos,Education,15.54,645578.0,Insider,Weak Passwords,Ai-Based Detection,56.0
Germany,2019,Sql Injection,Government,67.05,848517.0,Unknown,Zero-Day,Antivirus,16.0
France,2019,Malware,Healthcare,25.19,897755.0,Hacker Group,Social Engineering,Antivirus,61.0
Usa,2023,Ransomware,Government,93.34,999635.0,Nation-State,Weak Passwords,Antivirus,24.0
Brazil,2017,Phishing,Government,87.27,767721.0,Unknown,Weak Passwords,Encryption,9.0
India,2019,Phishing,It,33.15,629687.0,Unknown,Social Engineering,Firewall,53.0
India,2021,Phishing,Retail,38.5,517843.0,Unknown,Unpatched Software,Vpn,36.0
Russia,2015,Ddos,Healthcare,20.92,807631.0,Nation-State,Weak Passwords,Firewall,56.0
France,2024,Phishing,Retail,98.95,354954.0,Nation-State,Social Engineering,Ai-Based Detection,14.0
Japan,2017,Sql Injection,Healthcare,54.26,839368.0,Insider,Unpatched Software,Antivirus,40.0
Australia,2018,Ddos,Healthcare,10.77,910081.0,Nation-State,Zero-Day,Vpn,28.0
Usa,2024,Phishing,It,87.42,979700.0,Unknown,Weak Passwords,Firewall,49.0
China,2019,Man-In-The-Middle,Telecommunications,58.78,586131.0,Nation-State,Unpatched Software,Antivirus,68.0
Australia,2017,Phishing,Education,82.47,317988.0,Nation-State,Zero-Day,Encryption,2.0
India,2018,Ransomware,Government,43.11,11241.0,Hacker Group,Weak Passwords,Vpn,4.0
Brazil,2016,Phishing,Education,97.98,381599.0,Unknown,Weak Passwords,Encryption,66.0
Usa,2016,Sql Injection,Education,16.5,347293.0,Nation-State,Unpatched Software,Firewall,65.0
Uk,2023,Ransomware,It,86.23,82321.0,Unknown,Zero-Day,Firewall,47.0
Germany,2023,Phishing,Retail,49.76,460558.0,Nation-State,Zero-Day,Vpn,61.0
Germany,2022,Man-In-The-Middle,Telecommunications,62.83,828280.0,Hacker Group,Social Engineering,Vpn,62.0
India,2020,Malware,Education,20.14,287352.0,Unknown,Zero-Day,Firewall,69.0
Australia,2020,Ransomware,Government,25.9,946651.0,Insider,Unpatched Software,Vpn,67.0
Japan,2017,Phishing,Education,88.43,954423.0,Unknown,Unpatched Software,Firewall,6.0
Australia,2022,Ransomware,Banking,32.56,979382.0,Nation-State,Social Engineering,Antivirus,43.0
Brazil,2017,Ddos,Government,58.67,12372.0,Nation-State,Social Engineering,Encryption,29.0
Japan,2022,Phishing,It,6.49,195044.0,Unknown,Unpatched Software,Ai-Based Detection,20.0
Japan,2019,Ransomware,Telecommunications,34.93,721984.0,Nation-State,Weak Passwords,Vpn,44.0
Uk,2022,Ddos,Education,71.55,654253.0,Insider,Zero-Day,Vpn,36.0
Brazil,2015,Malware,Healthcare,23.01,686119.0,Insider,Weak Passwords,Vpn,25.0
Australia,2017,Man-In-The-Middle,Healthcare,93.91,776634.0,Unknown,Weak Passwords,Encryption,33.0
India,2020,Ransomware,It,41.09,698224.0,Insider,Unpatched Software,Vpn,21.0
Germany,2023,Malware,Government,86.77,88821.0,Unknown,Zero-Day,Antivirus,39.0
Russia,2022,Man-In-The-Middle,Banking,53.95,505132.5,Unknown,Unpatched Software,Vpn,36.0
Brazil,2016,Man-In-The-Middle,Retail,14.04,117819.0,Nation-State,Zero-Day,Antivirus,15.0
Russia,2021,Man-In-The-Middle,It,70.97,465446.0,Unknown,Unpatched Software,Encryption,51.0
Brazil,2015,Malware,Healthcare,75.72,505132.5,Unknown,Zero-Day,Ai-Based Detection,39.0
Usa,2022,Phishing,It,48.71,520480.0,Insider,Zero-Day,Vpn,36.0
